suffix_a,suffix_b,v_hex,class_hex,cluster_size,id_a,id_b,role_a,role_b,levels_a,levels_b
3,4,0x00000600,0x00000003,112,0x40c21c10,0x40c22c10,,,BRG1,SCIE
3,4,0x00000600,0x00000003,112,0x40c21c10,0x40da1c10,,,BRG1,FINN
3,4,0x00000600,0x00000003,112,0x40c22c10,0x40da2c10,,,SCIE,EGGS
3,4,0x00000600,0x00000003,112,0x40da1c10,0x40da2c10,,,FINN,EGGS
3,4,0x00000600,0x00000003,112,0x40da1c10,0x40ea1c10,,,FINN,CLOU
3,4,0x00000600,0x00000003,112,0x40da2c10,0x40ea2c10,,,EGGS,WEED
3,4,0x00000600,0x00000003,112,0x40ea1c10,0x40ea2c10,,,CLOU,WEED
3,4,0x00000600,0x00000003,112,0x410800f9,0x410818f9,,,FOOD;TMPL,FOOD;TMPL
3,4,0x00000600,0x00000003,112,0x41ca1c10,0x42ca1c10,,,CRYS,CLOU
3,4,0x00000600,0x00000003,112,0x42ca1c10,0x44ca1c10,,,CLOU,TMPL
3,4,0x00000600,0x00000003,112,0x44ca1c10,0x48ca1c10,,,TMPL,CAVE;CRYS
3,4,0x00000600,0x00000003,112,0x46269090,0x5e269090,,,WIZZ,MENU
3,4,0x00000600,0x00000003,112,0x462c6040,0x46346040,,,BOIL;CAVE;CRYS;CSTL;EGGS;GLID;MOSS;SEVN;SNOW;WEED,BOIL;CAVE;CRYS;CSTL;EGGS;GLID;MOSS;SEVN;SNOW;WEED
3,4,0x00000600,0x00000003,112,0x46346040,0x46386040,,,BOIL;CAVE;CRYS;CSTL;EGGS;GLID;MOSS;SEVN;SNOW;WEED,BOIL;CAVE;CRYS;CSTL;EGGS;GLID;MOSS;SEVN;SNOW;WEED
3,4,0x00000600,0x00000003,112,0x46386040,0x463e6040,,,BOIL;CAVE;CRYS;CSTL;EGGS;GLID;MOSS;SEVN;SNOW;WEED,BOIL;CAVE;CRYS;CSTL;EGGS;GLID;MOSS;SEVN;SNOW;WEED
3,4,0x00000600,0x00000003,112,0x48209640,0x49a09640,,,,
3,4,0x00000600,0x00000003,112,0x492c8430,0x512c8430,,,WIZZ,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;HEAD;MEGA;MOSS;PHRO;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ
3,4,0x00000600,0x00000003,112,0x49609640,0x49a09640,,,,
3,4,0x00000600,0x00000003,112,0x4a3ea110,0x523ea110,Menu door opens to reveal monkey animation,,MENU,EGGS
3,4,0x00000600,0x00000003,112,0x4a4ec094,0x524ec094,,,GLEN,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLEN;GLID;HEAD;MEGA;MOSS;PHRO;RUNN;SCIE;SEVN;SOAR;TMPL;WEED;WIZZ
3,4,0x00000600,0x00000003,112,0x4aee0118,0x52ee0118,Shriney Guard boss slamming down animation,,MEGA,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;HEAD;MEGA;MOSS;PHRO;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ
3,4,0x00000600,0x00000003,112,0x4baf8200,0x53af8200,Shriney Guard boss yelling animation,,MEGA,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;HEAD;MEGA;MOSS;PHRO;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ
3,4,0x00000600,0x00000003,112,0x4c02d240,0x4c62d240,,,,
3,4,0x00000600,0x00000003,112,0x4c2a8850,0x542a8850,,,WIZZ,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;HEAD;MEGA;MOSS;PHRO;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ
3,4,0x00000600,0x00000003,112,0x4c62d240,0x4ca2d240,,,,
3,4,0x00000600,0x00000003,112,0x51200640,0x61200640,,,,
3,4,0x00000600,0x00000003,112,0x512c8430,0x612c8430,,,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;HEAD;MEGA;MOSS;PHRO;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,FOOD;SNOW
3,4,0x00000600,0x00000003,112,0x52ee0118,0x62ee0118,,,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;HEAD;MEGA;MOSS;PHRO;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,BRG1
3,4,0x00000600,0x00000003,112,0x53af8200,0x63af8200,,,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;HEAD;MEGA;MOSS;PHRO;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,FOOD;SNOW
3,4,0x00000600,0x00000003,112,0x5a89815f,0x5ab9815f,,,BOIL;BRG1;CLOU;CRYS;CSTL;EVIL;FOOD;MOSS;PHRO;SCIE;SNOW;SOAR;TMPL,BOIL;BRG1;CLOU;CRYS;CSTL;EVIL;FOOD;MOSS;PHRO;SCIE;SNOW;SOAR;TMPL
3,4,0x00000600,0x00000003,112,0x5ab9815f,0x5ad9815f,,,BOIL;BRG1;CLOU;CRYS;CSTL;EVIL;FOOD;MOSS;PHRO;SCIE;SNOW;SOAR;TMPL,BOIL;BRG1;CLOU;CRYS;CSTL;EVIL;FOOD;MOSS;PHRO;SCIE;SNOW;SOAR;TMPL
3,4,0x00000600,0x00000003,112,0x60181a0c,0x61981a0c,,Plain monkey enemy,PHRO;SCIE,BOIL;BRG1;CRYS;MOSS;SCIE;SNOW;SOAR;TMPL
3,4,0x00000600,0x00000003,112,0x60a91c9c,0x60aa1c9c,,,BRG1,BRG1
3,4,0x00000600,0x00000003,112,0x60b98cbd,0x60b9bcbd,,,BRG1;PHRO;TMPL,BRG1
3,4,0x00000600,0x00000003,112,0x61581a0c,0x61981a0c,,Plain monkey enemy,BOIL;BRG1;CRYS;MOSS;SCIE;SNOW;SOAR;TMPL,BOIL;BRG1;CRYS;MOSS;SCIE;SNOW;SOAR;TMPL
3,4,0x00000600,0x00000003,112,0x620ec210,0x7a0ec210,,,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;MOSS;PHRO;SCIE;SNOW;TMPL;WEED,EGGS
3,4,0x00000600,0x00000003,112,0x62318245,0x7a318245,,,,
3,4,0x00000600,0x00000003,112,0x6a351094,0x6c351094,,,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FINN;FOOD;GLEN;GLID;HEAD;KLOG;MEGA;MENU;MOSS;PHRO;RUNN;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FINN;FOOD;GLEN;GLID;HEAD;KLOG;MEGA;MENU;MOSS;PHRO;RUNN;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ
3,4,0x00000600,0x00000003,112,0x6d209c95,0xed209c94,,,CSTL,CSTL
3,4,0x00000600,0x00000003,112,0x70204350,0x70404350,,,,
3,4,0x00000600,0x00000003,112,0x7c108242,0x7c108244,,,,
3,4,0x00000600,0x00000003,112,0x800da102,0x800da11a,,,KLOG,KLOG
3,4,0x00000600,0x00000003,112,0x800da102,0x800da132,,,KLOG,KLOG
3,4,0x00000600,0x00000003,112,0x800da116,0x800da11a,,,KLOG,KLOG
3,4,0x00000600,0x00000003,112,0x800da132,0x800da152,,,KLOG,KLOG
3,4,0x00000600,0x00000003,112,0x81421850,0x82421850,,,WIZZ,WIZZ
3,4,0x00000600,0x00000003,112,0xa9387d8c,0xc9387d8c,,,CLOU,CLOU
3,4,0x00000600,0x00000003,112,0xb0107444,0xb0d07444,,,,
3,4,0x00000600,0x00000003,112,0xb0107444,0xb1907444,,,,
3,4,0x00000600,0x00000003,112,0xb0807444,0xb0b07444,,,,
3,4,0x00000600,0x00000003,112,0xb0b07444,0xb0d07444,,,,
3,4,0x00000600,0x00000003,112,0xb1907444,0xb2907444,,,,
3,4,0x00000600,0x00000003,112,0xb468d0c6,0xb868d0c6,,,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLEN;GLID;HEAD;MEGA;MOSS;PHRO;RUNN;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLEN;GLID;HEAD;MEGA;MOSS;PHRO;RUNN;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ
3,4,0x00000600,0x00000003,112,0xb868d0c6,0xbe68d0c6,,,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLEN;GLID;HEAD;MEGA;MOSS;PHRO;RUNN;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLEN;GLID;HEAD;MEGA;MOSS;PHRO;RUNN;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ
3,4,0x00000600,0x00000003,112,0xc8648260,0xc864b260,,,,
3,4,0x00000600,0x00000003,112,0xc864b260,0xc864d260,,,,
3,4,0x00000600,0x00000003,112,0xe00e989d,0xe00e991d,,,BOIL;BRG1;CRYS;MOSS;SCIE;SNOW;SOAR;TMPL,BOIL;BRG1;CRYS;MOSS;SCIE;SNOW;SOAR;TMPL
3,4,0x00000600,0x00000003,112,0xf03391e9,0xf033a1e9,,,,
A,B,0x00000006,0x00000003,112,0x006e0046,0x00ae0046,,,,
A,B,0x00000006,0x00000003,112,0x00ce0610,0x0cce0610,,,CSTL;FOOD;SEVN;TMPL,CSTL;FOOD;SEVN;TMPL
A,B,0x00000006,0x00000003,112,0x00ce0610,0x18ce0610,,,CSTL;FOOD;SEVN;TMPL,CSTL;FOOD;SEVN;TMPL
A,B,0x00000006,0x00000003,112,0x04041001,0x08041001,,,,
A,B,0x00000006,0x00000003,112,0x08041001,0x0e041001,,,,
A,B,0x00000006,0x00000003,112,0x080c8300,0x08148300,,,EVIL,EVIL;FINN;RUNN
A,B,0x00000006,0x00000003,112,0x08148300,0x08188300,,,EVIL;FINN;RUNN,EVIL;FINN;RUNN
A,B,0x00000006,0x00000003,112,0x08188300,0x081e8300,,,EVIL;FINN;RUNN,EVIL;FINN;RUNN
A,B,0x00000006,0x00000003,112,0x081d8300,0x081e8300,,,EVIL;FINN;RUNN,EVIL;FINN;RUNN
A,B,0x00000006,0x00000003,112,0x09ce0610,0x0ace0610,,,CSTL;FOOD;SEVN;TMPL,CSTL;FOOD;SEVN;TMPL
A,B,0x00000006,0x00000003,112,0x0ace0610,0x0cce0610,,,CSTL;FOOD;SEVN;TMPL,CSTL;FOOD;SEVN;TMPL
A,B,0x00000006,0x00000003,112,0x0b0811bb,0x0b081dbb,,,HEAD,HEAD
A,B,0x00000006,0x00000003,112,0x10b85810,0x10b9d810,,,FINN,FINN
A,B,0x00000006,0x00000003,112,0x10b85810,0x10bb5810,,,FINN,FINN
A,B,0x00000006,0x00000003,112,0x10b91810,0x10b9181c,,,FINN,FINN
A,B,0x00000006,0x00000003,112,0x10b91810,0x10b97810,,,FINN,FINN
A,B,0x00000006,0x00000003,112,0x10b91810,0x10b9d810,,,FINN,FINN
A,B,0x00000006,0x00000003,112,0x10b9181c,0x10b9781c,,,FINN,FINN
A,B,0x00000006,0x00000003,112,0x10b9181c,0x10b9d81c,,,FINN,FINN
A,B,0x00000006,0x00000003,112,0x10b94810,0x10b9481c,,,FINN,FINN
A,B,0x00000006,0x00000003,112,0x10b94810,0x10b95010,,,FINN,FINN
A,B,0x00000006,0x00000003,112,0x10b94810,0x10b97810,,,FINN,FINN
A,B,0x00000006,0x00000003,112,0x10b9481c,0x10b9501c,,,FINN,FINN
A,B,0x00000006,0x00000003,112,0x10b9481c,0x10b9781c,,,FINN,FINN
A,B,0x00000006,0x00000003,112,0x10b95010,0x10b9501c,,,FINN,FINN
A,B,0x00000006,0x00000003,112,0x10b95010,0x10b95c10,,,FINN,FINN
A,B,0x00000006,0x00000003,112,0x10b9501c,0x10b95c1c,,,FINN,FINN
A,B,0x00000006,0x00000003,112,0x10b95a10,0x10b95a1c,,,FINN,FINN
A,B,0x00000006,0x00000003,112,0x10b95a10,0x10b95c10,,,FINN,FINN
A,B,0x00000006,0x00000003,112,0x10b95a1c,0x10b95c1c,,,FINN,FINN
A,B,0x00000006,0x00000003,112,0x10b95c10,0x10b95c1c,,,FINN,FINN
A,B,0x00000006,0x00000003,112,0x10b97810,0x10b9781c,,,FINN,FINN
A,B,0x00000006,0x00000003,112,0x10b9d810,0x10b9d81c,,,FINN,FINN
A,B,0x00000006,0x00000003,112,0x18ce0610,0x28ce0610,,,CSTL;FOOD;SEVN;TMPL,CSTL;FOOD;SEVN;TMPL
A,B,0x00000006,0x00000003,112,0x18e88310,0x18e88510,,,GLEN,GLEN
A,B,0x00000006,0x00000003,112,0x18e88510,0x18e88910,,,GLEN,GLEN
A,B,0x00000006,0x00000003,112,0x1df99931,0x1ef99931,,,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;HEAD;MEGA;MOSS;PHRO;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;HEAD;MEGA;MOSS;PHRO;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ
A,B,0x00000006,0x00000003,112,0x28a0c119,0x30a0c119,,,MENU,MENU
A,B,0x00000006,0x00000003,112,0x2a6e0410,0x326e0410,,,EGGS,FOOD;TMPL
A,B,0x00000006,0x00000003,112,0x2e809804,0x2e811804,,,KLOG,KLOG
A,B,0x00000006,0x00000003,112,0x2e809804,0x2e839804,,,KLOG,KLOG
A,B,0x00000006,0x00000003,112,0x302010c4,0x302016c4,,,,
A,B,0x00000006,0x00000003,112,0x3080820d,0x3080840d,,,MENU,MENU
A,B,0x00000006,0x00000003,112,0x3080820d,0x30808e0d,,,MENU,MENU
A,B,0x00000006,0x00000003,112,0x3a186940,0x3a186980,,,CAVE;EGGS;GLID;WEED,CAVE;EGGS;GLID;WEED
A,B,0x00000006,0x00000003,112,0x400c989d,0x400c991d,,,BOIL;BRG1;CRYS;MOSS;SCIE;SNOW;SOAR;TMPL,BOIL;BRG1;CRYS;MOSS;SCIE;SNOW;SOAR;TMPL
A,B,0x00000006,0x00000003,112,0x400c991d,0x400c9a1d,,,BOIL;BRG1;CRYS;MOSS;SCIE;SNOW;SOAR;TMPL,PHRO;SCIE
A,B,0x00000006,0x00000003,112,0x40106054,0x4c106054,,,MEGA,MEGA
A,B,0x00000006,0x00000003,112,0x407801d0,0x407801dc,,,GLEN,GLEN
A,B,0x00000006,0x00000003,112,0x408a1c10,0x408a2c10,,,CAVE,FOOD
A,B,0x00000006,0x00000003,112,0x408a1c10,0x40ea1c10,,,CAVE,CLOU
A,B,0x00000006,0x00000003,112,0x408a2c10,0x40ea2c10,,,FOOD,WEED
A,B,0x00000006,0x00000003,112,0x40b18011,0x40b28011,,,MENU,MENU
A,B,0x00000006,0x00000003,112,0x40b28011,0x40b48011,,,MENU,MENU
A,B,0x00000006,0x00000003,112,0x40c21c10,0x40c22c10,,,BRG1,SCIE
A,B,0x00000006,0x00000003,112,0x40c21c10,0x40da1c10,,,BRG1,FINN
A,B,0x00000006,0x00000003,112,0x40c22c10,0x40da2c10,,,SCIE,EGGS
A,B,0x00000006,0x00000003,112,0x40da1c10,0x40da2c10,,,FINN,EGGS
A,B,0x00000006,0x00000003,112,0x40da1c10,0x40ea1c10,,,FINN,CLOU
A,B,0x00000006,0x00000003,112,0x40da2c10,0x40ea2c10,,,EGGS,WEED
A,B,0x00000006,0x00000003,112,0x40ea1c10,0x40ea2c10,,,CLOU,WEED
A,B,0x00000006,0x00000003,112,0x410800f9,0x410818f9,,,FOOD;TMPL,FOOD;TMPL
A,B,0x00000006,0x00000003,112,0x41ca1c10,0x42ca1c10,,,CRYS,CLOU
A,B,0x00000006,0x00000003,112,0x42ca1c10,0x44ca1c10,,,CLOU,TMPL
A,B,0x00000006,0x00000003,112,0x44ca1c10,0x48ca1c10,,,TMPL,CAVE;CRYS
A,B,0x00000006,0x00000003,112,0x46269090,0x5e269090,,,WIZZ,MENU
A,B,0x00000006,0x00000003,112,0x462c6040,0x46346040,,,BOIL;CAVE;CRYS;CSTL;EGGS;GLID;MOSS;SEVN;SNOW;WEED,BOIL;CAVE;CRYS;CSTL;EGGS;GLID;MOSS;SEVN;SNOW;WEED
A,B,0x00000006,0x00000003,112,0x46346040,0x46386040,,,BOIL;CAVE;CRYS;CSTL;EGGS;GLID;MOSS;SEVN;SNOW;WEED,BOIL;CAVE;CRYS;CSTL;EGGS;GLID;MOSS;SEVN;SNOW;WEED
A,B,0x00000006,0x00000003,112,0x46386040,0x463e6040,,,BOIL;CAVE;CRYS;CSTL;EGGS;GLID;MOSS;SEVN;SNOW;WEED,BOIL;CAVE;CRYS;CSTL;EGGS;GLID;MOSS;SEVN;SNOW;WEED
A,B,0x00000006,0x00000003,112,0x48209640,0x49a09640,,,,
A,B,0x00000006,0x00000003,112,0x492c8430,0x512c8430,,,WIZZ,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;HEAD;MEGA;MOSS;PHRO;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ
A,B,0x00000006,0x00000003,112,0x49609640,0x49a09640,,,,
A,B,0x00000006,0x00000003,112,0x4a3ea110,0x523ea110,Menu door opens to reveal monkey animation,,MENU,EGGS
A,B,0x00000006,0x00000003,112,0x4a4ec094,0x524ec094,,,GLEN,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLEN;GLID;HEAD;MEGA;MOSS;PHRO;RUNN;SCIE;SEVN;SOAR;TMPL;WEED;WIZZ
A,B,0x00000006,0x00000003,112,0x4aee0118,0x52ee0118,Shriney Guard boss slamming down animation,,MEGA,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;HEAD;MEGA;MOSS;PHRO;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ
A,B,0x00000006,0x00000003,112,0x4baf8200,0x53af8200,Shriney Guard boss yelling animation,,MEGA,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;HEAD;MEGA;MOSS;PHRO;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ
A,B,0x00000006,0x00000003,112,0x4c02d240,0x4c62d240,,,,
A,B,0x00000006,0x00000003,112,0x4c2a8850,0x542a8850,,,WIZZ,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;HEAD;MEGA;MOSS;PHRO;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ
A,B,0x00000006,0x00000003,112,0x4c62d240,0x4ca2d240,,,,
A,B,0x00000006,0x00000003,112,0x51200640,0x61200640,,,,
A,B,0x00000006,0x00000003,112,0x512c8430,0x612c8430,,,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;HEAD;MEGA;MOSS;PHRO;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,FOOD;SNOW
A,B,0x00000006,0x00000003,112,0x52ee0118,0x62ee0118,,,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;HEAD;MEGA;MOSS;PHRO;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,BRG1
A,B,0x00000006,0x00000003,112,0x53af8200,0x63af8200,,,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;HEAD;MEGA;MOSS;PHRO;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,FOOD;SNOW
A,B,0x00000006,0x00000003,112,0x5a89815f,0x5ab9815f,,,BOIL;BRG1;CLOU;CRYS;CSTL;EVIL;FOOD;MOSS;PHRO;SCIE;SNOW;SOAR;TMPL,BOIL;BRG1;CLOU;CRYS;CSTL;EVIL;FOOD;MOSS;PHRO;SCIE;SNOW;SOAR;TMPL
A,B,0x00000006,0x00000003,112,0x5ab9815f,0x5ad9815f,,,BOIL;BRG1;CLOU;CRYS;CSTL;EVIL;FOOD;MOSS;PHRO;SCIE;SNOW;SOAR;TMPL,BOIL;BRG1;CLOU;CRYS;CSTL;EVIL;FOOD;MOSS;PHRO;SCIE;SNOW;SOAR;TMPL
A,B,0x00000006,0x00000003,112,0x60181a0c,0x61981a0c,,Plain monkey enemy,PHRO;SCIE,BOIL;BRG1;CRYS;MOSS;SCIE;SNOW;SOAR;TMPL
A,B,0x00000006,0x00000003,112,0x60a91c9c,0x60aa1c9c,,,BRG1,BRG1
A,B,0x00000006,0x00000003,112,0x60b98cbd,0x60b9bcbd,,,BRG1;PHRO;TMPL,BRG1
A,B,0x00000006,0x00000003,112,0x61581a0c,0x61981a0c,,Plain monkey enemy,BOIL;BRG1;CRYS;MOSS;SCIE;SNOW;SOAR;TMPL,BOIL;BRG1;CRYS;MOSS;SCIE;SNOW;SOAR;TMPL
A,B,0x00000006,0x00000003,112,0x620ec210,0x7a0ec210,,,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;MOSS;PHRO;SCIE;SNOW;TMPL;WEED,EGGS
A,B,0x00000006,0x00000003,112,0x62318245,0x7a318245,,,,
A,B,0x00000006,0x00000003,112,0x6a351094,0x6c351094,,,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FINN;FOOD;GLEN;GLID;HEAD;KLOG;MEGA;MENU;MOSS;PHRO;RUNN;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FINN;FOOD;GLEN;GLID;HEAD;KLOG;MEGA;MENU;MOSS;PHRO;RUNN;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ
A,B,0x00000006,0x00000003,112,0x6d209c95,0xed209c94,,,CSTL,CSTL
A,B,0x00000006,0x00000003,112,0x70204350,0x70404350,,,,
A,B,0x00000006,0x00000003,112,0x7c108242,0x7c108244,,,,
A,B,0x00000006,0x00000003,112,0x800da102,0x800da11a,,,KLOG,KLOG
A,B,0x00000006,0x00000003,112,0x800da102,0x800da132,,,KLOG,KLOG
A,B,0x00000006,0x00000003,112,0x800da116,0x800da11a,,,KLOG,KLOG
A,B,0x00000006,0x00000003,112,0x800da132,0x800da152,,,KLOG,KLOG
A,B,0x00000006,0x00000003,112,0x81421850,0x82421850,,,WIZZ,WIZZ
A,B,0x00000006,0x00000003,112,0xa9387d8c,0xc9387d8c,,,CLOU,CLOU
A,B,0x00000006,0x00000003,112,0xb0107444,0xb0d07444,,,,
A,B,0x00000006,0x00000003,112,0xb0107444,0xb1907444,,,,
A,B,0x00000006,0x00000003,112,0xb0807444,0xb0b07444,,,,
A,B,0x00000006,0x00000003,112,0xb0b07444,0xb0d07444,,,,
A,B,0x00000006,0x00000003,112,0xb1907444,0xb2907444,,,,
A,B,0x00000006,0x00000003,112,0xb468d0c6,0xb868d0c6,,,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLEN;GLID;HEAD;MEGA;MOSS;PHRO;RUNN;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLEN;GLID;HEAD;MEGA;MOSS;PHRO;RUNN;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ
A,B,0x00000006,0x00000003,112,0xb868d0c6,0xbe68d0c6,,,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLEN;GLID;HEAD;MEGA;MOSS;PHRO;RUNN;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLEN;GLID;HEAD;MEGA;MOSS;PHRO;RUNN;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ
A,B,0x00000006,0x00000003,112,0xc8648260,0xc864b260,,,,
A,B,0x00000006,0x00000003,112,0xc864b260,0xc864d260,,,,
A,B,0x00000006,0x00000003,112,0xe00e989d,0xe00e991d,,,BOIL;BRG1;CRYS;MOSS;SCIE;SNOW;SOAR;TMPL,BOIL;BRG1;CRYS;MOSS;SCIE;SNOW;SOAR;TMPL
A,B,0x00000006,0x00000003,112,0xf03391e9,0xf033a1e9,,,,
B,C,0x0000000c,0x00000003,112,0x006e0046,0x00ae0046,,,,
B,C,0x0000000c,0x00000003,112,0x00ce0610,0x0cce0610,,,CSTL;FOOD;SEVN;TMPL,CSTL;FOOD;SEVN;TMPL
B,C,0x0000000c,0x00000003,112,0x00ce0610,0x18ce0610,,,CSTL;FOOD;SEVN;TMPL,CSTL;FOOD;SEVN;TMPL
B,C,0x0000000c,0x00000003,112,0x04041001,0x08041001,,,,
B,C,0x0000000c,0x00000003,112,0x08041001,0x0e041001,,,,
B,C,0x0000000c,0x00000003,112,0x080c8300,0x08148300,,,EVIL,EVIL;FINN;RUNN
B,C,0x0000000c,0x00000003,112,0x08148300,0x08188300,,,EVIL;FINN;RUNN,EVIL;FINN;RUNN
B,C,0x0000000c,0x00000003,112,0x08188300,0x081e8300,,,EVIL;FINN;RUNN,EVIL;FINN;RUNN
B,C,0x0000000c,0x00000003,112,0x081d8300,0x081e8300,,,EVIL;FINN;RUNN,EVIL;FINN;RUNN
B,C,0x0000000c,0x00000003,112,0x09ce0610,0x0ace0610,,,CSTL;FOOD;SEVN;TMPL,CSTL;FOOD;SEVN;TMPL
B,C,0x0000000c,0x00000003,112,0x0ace0610,0x0cce0610,,,CSTL;FOOD;SEVN;TMPL,CSTL;FOOD;SEVN;TMPL
B,C,0x0000000c,0x00000003,112,0x0b0811bb,0x0b081dbb,,,HEAD,HEAD
B,C,0x0000000c,0x00000003,112,0x10b85810,0x10b9d810,,,FINN,FINN
B,C,0x0000000c,0x00000003,112,0x10b85810,0x10bb5810,,,FINN,FINN
B,C,0x0000000c,0x00000003,112,0x10b91810,0x10b9181c,,,FINN,FINN
B,C,0x0000000c,0x00000003,112,0x10b91810,0x10b97810,,,FINN,FINN
B,C,0x0000000c,0x00000003,112,0x10b91810,0x10b9d810,,,FINN,FINN
B,C,0x0000000c,0x00000003,112,0x10b9181c,0x10b9781c,,,FINN,FINN
B,C,0x0000000c,0x00000003,112,0x10b9181c,0x10b9d81c,,,FINN,FINN
B,C,0x0000000c,0x00000003,112,0x10b94810,0x10b9481c,,,FINN,FINN
B,C,0x0000000c,0x00000003,112,0x10b94810,0x10b95010,,,FINN,FINN
B,C,0x0000000c,0x00000003,112,0x10b94810,0x10b97810,,,FINN,FINN
B,C,0x0000000c,0x00000003,112,0x10b9481c,0x10b9501c,,,FINN,FINN
B,C,0x0000000c,0x00000003,112,0x10b9481c,0x10b9781c,,,FINN,FINN
B,C,0x0000000c,0x00000003,112,0x10b95010,0x10b9501c,,,FINN,FINN
B,C,0x0000000c,0x00000003,112,0x10b95010,0x10b95c10,,,FINN,FINN
B,C,0x0000000c,0x00000003,112,0x10b9501c,0x10b95c1c,,,FINN,FINN
